"filename", "language", "JSON", "Markdown", "CSS", "JavaScript", "SVG", "Pug", "comment", "blank", "total"
"e:\Projects\Udemy\complete-node-bootcamp\4-natours\mywork\README.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 2, 4
"e:\Projects\Udemy\complete-node-bootcamp\4-natours\mywork\app.js", "JavaScript", 0, 0, 0, 67, 0, 0, 31, 32, 130
"e:\Projects\Udemy\complete-node-bootcamp\4-natours\mywork\package-lock.json", "JSON", 9808, 0, 0, 0, 0, 0, 0, 1, 9809
"e:\Projects\Udemy\complete-node-bootcamp\4-natours\mywork\package.json", "JSON", 59, 0, 0, 0, 0, 0, 0, 1, 60
"e:\Projects\Udemy\complete-node-bootcamp\4-natours\mywork\public\css\style.css", "CSS", 0, 0, 1272, 0, 0, 0, 3, 74, 1349
"e:\Projects\Udemy\complete-node-bootcamp\4-natours\mywork\public\img\icons.svg", "SVG", 0, 0, 0, 0, 1324, 0, 0, 1, 1325
"e:\Projects\Udemy\complete-node-bootcamp\4-natours\mywork\public\js\alerts.js", "JavaScript", 0, 0, 0, 10, 0, 0, 1, 2, 13
"e:\Projects\Udemy\complete-node-bootcamp\4-natours\mywork\public\js\bundle.js", "JavaScript", 0, 0, 0, 576, 0, 0, 0, 16, 592
"e:\Projects\Udemy\complete-node-bootcamp\4-natours\mywork\public\js\index.js", "JavaScript", 0, 0, 0, 65, 0, 0, 5, 15, 85
"e:\Projects\Udemy\complete-node-bootcamp\4-natours\mywork\public\js\login.js", "JavaScript", 0, 0, 0, 33, 0, 0, 2, 5, 40
"e:\Projects\Udemy\complete-node-bootcamp\4-natours\mywork\public\js\mapbox.js", "JavaScript", 0, 0, 0, 21, 0, 0, 6, 6, 33
"e:\Projects\Udemy\complete-node-bootcamp\4-natours\mywork\public\js\signup.js", "JavaScript", 0, 0, 0, 51, 0, 0, 2, 7, 60
"e:\Projects\Udemy\complete-node-bootcamp\4-natours\mywork\public\js\stripe.js", "JavaScript", 0, 0, 0, 14, 0, 0, 2, 4, 20
"e:\Projects\Udemy\complete-node-bootcamp\4-natours\mywork\public\js\updateSettings.js", "JavaScript", 0, 0, 0, 20, 0, 0, 1, 4, 25
"e:\Projects\Udemy\complete-node-bootcamp\4-natours\mywork\server.js", "JavaScript", 0, 0, 0, 53, 0, 0, 13, 11, 77
"e:\Projects\Udemy\complete-node-bootcamp\4-natours\mywork\src\bookings\bookingController.js", "JavaScript", 0, 0, 0, 43, 0, 0, 6, 12, 61
"e:\Projects\Udemy\complete-node-bootcamp\4-natours\mywork\src\bookings\bookingModel.js", "JavaScript", 0, 0, 0, 34, 0, 0, 0, 5, 39
"e:\Projects\Udemy\complete-node-bootcamp\4-natours\mywork\src\bookings\bookingRoutes.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 7, 27
"e:\Projects\Udemy\complete-node-bootcamp\4-natours\mywork\src\controllers\authController.js", "JavaScript", 0, 0, 0, 171, 0, 0, 60, 48, 279
"e:\Projects\Udemy\complete-node-bootcamp\4-natours\mywork\src\controllers\errorController.js", "JavaScript", 0, 0, 0, 85, 0, 0, 17, 19, 121
